nodes,avg_lifetime,std_lifetime
5.000000000000000000e+00,2.255099999999999838e+01,2.458830655006562083e+01
1.000000000000000000e+01,2.045599999999999952e+01,2.027083974580234127e+01
1.500000000000000000e+01,1.454849999999999888e+01,1.356812156306096995e+01
2.000000000000000000e+01,1.657100000000000506e+01,1.534831746479072656e+01
2.500000000000000000e+01,1.369199999999999839e+01,1.167452294528560053e+01
3.000000000000000000e+01,1.757000000000000028e+01,1.409062702650240340e+01
3.500000000000000000e+01,8.382499999999998508e+00,5.779345875616028749e+00
4.000000000000000000e+01,1.368000000000000149e+01,1.235381681910493512e+01
4.500000000000000000e+01,1.504950000000000010e+01,1.539979788016712803e+01
5.000000000000000000e+01,1.188250000000000206e+01,8.557355242713722276e+00
5.500000000000000000e+01,1.625200000000000244e+01,1.424129614887633721e+01
6.000000000000000000e+01,6.851000000000000867e+00,6.922797772577211184e+00
6.500000000000000000e+01,1.272950000000000159e+01,8.854046236043721763e+00
7.000000000000000000e+01,1.087549999999999883e+01,1.072903326260106205e+01
7.500000000000000000e+01,1.338850000000000229e+01,1.088544315818148078e+01
8.000000000000000000e+01,1.079899999999999949e+01,7.500249929169028107e+00
8.500000000000000000e+01,7.773999999999999133e+00,7.620052755722889870e+00
9.000000000000000000e+01,1.424249999999999794e+01,1.146078045989888139e+01
9.500000000000000000e+01,9.964499999999999247e+00,8.612049393146790521e+00
1.000000000000000000e+02,1.061599999999999966e+01,7.602288076625353774e+00
1.050000000000000000e+02,1.044549999999999912e+01,1.069129153797613085e+01
1.100000000000000000e+02,6.471499999999998920e+00,5.788589012013204638e+00
1.150000000000000000e+02,8.341999999999998749e+00,7.880126014220837583e+00
1.200000000000000000e+02,1.071649999999999991e+01,1.554525659968339113e+01
1.250000000000000000e+02,1.317649999999999899e+01,1.064222546040065787e+01
1.300000000000000000e+02,1.053299999999999947e+01,1.012746962473845080e+01
1.350000000000000000e+02,9.705500000000000682e+00,7.415035047118792910e+00
1.400000000000000000e+02,8.521499999999999631e+00,5.720518573521110817e+00
1.450000000000000000e+02,7.119500000000000384e+00,4.666418835681169774e+00
1.500000000000000000e+02,1.188749999999999929e+01,8.949459690394721889e+00
1.550000000000000000e+02,7.370000000000000107e+00,5.823629452497814718e+00
1.600000000000000000e+02,9.570999999999999730e+00,9.381845180986521981e+00
1.650000000000000000e+02,7.563000000000000611e+00,5.538435790004251125e+00
1.700000000000000000e+02,9.949000000000001620e+00,4.093045198870884249e+00
1.750000000000000000e+02,8.556000000000000938e+00,6.106018670131954096e+00
1.800000000000000000e+02,8.352999999999999758e+00,7.127073803462399937e+00
1.850000000000000000e+02,1.082850000000000001e+01,1.596439108610159252e+01
1.900000000000000000e+02,6.364499999999999602e+00,5.625899461419479941e+00
1.950000000000000000e+02,1.334699999999999775e+01,1.401933418533134201e+01
2.000000000000000000e+02,1.266399999999999970e+01,1.386050157822580431e+01
