nodes,avg_lifetime,std_lifetime
5.000000000000000000e+00,2.255099999999999838e+01,2.458830655006562083e+01
1.000000000000000000e+01,2.045599999999999952e+01,2.027083974580234127e+01
1.500000000000000000e+01,1.455300000000000082e+01,1.356303841327598469e+01
2.000000000000000000e+01,1.656000000000000227e+01,1.533948206426801164e+01
2.500000000000000000e+01,1.369900000000000162e+01,1.168124860620644512e+01
3.000000000000000000e+01,1.757249999999999801e+01,1.409009044506102626e+01
3.500000000000000000e+01,8.378999999999999559e+00,5.782340270167434682e+00
4.000000000000000000e+01,1.374199999999999910e+01,1.243040288968945717e+01
4.500000000000000000e+01,1.501200000000000045e+01,1.539275985650396628e+01
5.000000000000000000e+01,1.182049999999999912e+01,8.566484386841548115e+00
5.500000000000000000e+01,1.618100000000000094e+01,1.421155441885228754e+01
6.000000000000000000e+01,6.865999999999999659e+00,6.943932171327712233e+00
6.500000000000000000e+01,1.270450000000000124e+01,8.885633615561694398e+00
7.000000000000000000e+01,1.089349999999999952e+01,1.073430541534942506e+01
7.500000000000000000e+01,1.255499999999999972e+01,1.077947517275307909e+01
8.000000000000000000e+01,1.077549999999999741e+01,7.513999916821931357e+00
8.500000000000000000e+01,7.775499999999999190e+00,7.525716892761779242e+00
9.000000000000000000e+01,1.426249999999999751e+01,1.150968108811013124e+01
9.500000000000000000e+01,9.931499999999999773e+00,8.617035612668663802e+00
1.000000000000000000e+02,1.059750000000000014e+01,7.634449472620799426e+00
1.050000000000000000e+02,1.042950000000000088e+01,1.066040734446859695e+01
1.100000000000000000e+02,6.458000000000000185e+00,5.827877486701311227e+00
1.150000000000000000e+02,8.384499999999999176e+00,7.910255036975735621e+00
1.200000000000000000e+02,1.068299999999999983e+01,1.555993769267730720e+01
1.250000000000000000e+02,1.261799999999999855e+01,1.057333277637661340e+01
1.300000000000000000e+02,1.062549999999999883e+01,1.045210432161868397e+01
1.350000000000000000e+02,9.634999999999999787e+00,7.387857943951007478e+00
1.400000000000000000e+02,8.717999999999999972e+00,6.172461097487776271e+00
1.450000000000000000e+02,7.131000000000002004e+00,4.662526032098909035e+00
1.500000000000000000e+02,1.189400000000000013e+01,8.923097780479601226e+00
1.550000000000000000e+02,7.404999999999999361e+00,5.823359425623666930e+00
1.600000000000000000e+02,9.301500000000000767e+00,9.587202550796558143e+00
1.650000000000000000e+02,7.644000000000000128e+00,5.573306379520149179e+00
1.700000000000000000e+02,9.891000000000001791e+00,4.102302889841265454e+00
1.750000000000000000e+02,8.581999999999998963e+00,6.108144235363144325e+00
1.800000000000000000e+02,8.704499999999999460e+00,7.232978276616071511e+00
1.850000000000000000e+02,7.369999999999999218e+00,4.450023595443062696e+00
1.900000000000000000e+02,6.358500000000000263e+00,5.603727576354867956e+00
1.950000000000000000e+02,1.329000000000000092e+01,1.402792964054211389e+01
2.000000000000000000e+02,1.262700000000000067e+01,1.383834567424878337e+01
