nodes,avg_lifetime_min,std_lifetime_min
1.000000000000000000e+00,5.397999999999999687e+00,3.186251088662034991e+00
2.000000000000000000e+00,5.275999999999999801e+00,2.640080301809018870e+00
3.000000000000000000e+00,4.983999999999999098e+00,2.770441120110658684e+00
4.000000000000000000e+00,4.838300000000000267e+00,2.663841419829641843e+00
5.000000000000000000e+00,4.756000000000000227e+00,2.662281728142234183e+00
6.000000000000000000e+00,5.010500000000000398e+00,2.801350522515881458e+00
7.000000000000000000e+00,5.108609523809523267e+00,2.738651293583358903e+00
8.000000000000000000e+00,4.657908333333333317e+00,2.721998568747582947e+00
9.000000000000000000e+00,4.441525925925925655e+00,2.836386675905415267e+00
1.000000000000000000e+01,4.799789999999999779e+00,2.758223227472110572e+00
1.100000000000000000e+01,4.598221212121211821e+00,2.730474345987432994e+00
1.200000000000000000e+01,4.416861111111111349e+00,2.811961670153698911e+00
1.300000000000000000e+01,4.507920512820512648e+00,2.825522156661375739e+00
1.400000000000000000e+01,4.571797619047618610e+00,2.885441448357441985e+00
1.500000000000000000e+01,4.461124444444444670e+00,2.857294495133637646e+00
1.600000000000000000e+01,4.368602083333334107e+00,2.746639674345745519e+00
1.700000000000000000e+01,4.447211764705882864e+00,2.726303177673682576e+00
1.800000000000000000e+01,4.394018518518518768e+00,2.854136181988532250e+00
1.900000000000000000e+01,4.478056140350877179e+00,2.719138245907521512e+00
2.000000000000000000e+01,4.660045000000000215e+00,2.734040654553764771e+00
2.100000000000000000e+01,4.460396825396825804e+00,2.798144164113872900e+00
2.200000000000000000e+01,4.777115151515150870e+00,2.724482146303771835e+00
2.300000000000000000e+01,4.622808695652174116e+00,2.713872327464845302e+00
2.400000000000000000e+01,4.505619444444445065e+00,2.672904377401672527e+00
2.500000000000000000e+01,4.481600000000000250e+00,2.712035252147156239e+00
2.600000000000000000e+01,4.480765384615385649e+00,2.648357392396578636e+00
2.700000000000000000e+01,4.477481481481481396e+00,2.678173081062200644e+00
2.800000000000000000e+01,4.522327380952380516e+00,2.652706079012757012e+00
2.900000000000000000e+01,4.446917241379310326e+00,2.704725127224699488e+00
3.000000000000000000e+01,4.396968888888888927e+00,2.727886601815667778e+00
3.100000000000000000e+01,4.418718279569892715e+00,2.773242930221635039e+00
3.200000000000000000e+01,4.491362499999999258e+00,2.740415341565616725e+00
3.300000000000000000e+01,4.509277777777778162e+00,2.739443695267314904e+00
3.400000000000000000e+01,4.480784313725489909e+00,2.725298840581138027e+00
3.500000000000000000e+01,4.464820952380952335e+00,2.736116598567726044e+00
3.600000000000000000e+01,4.528450925925926462e+00,2.706742846389479595e+00
3.700000000000000000e+01,4.462413513513513230e+00,2.746336323810514290e+00
3.800000000000000000e+01,4.410742982456140382e+00,2.735270524326967490e+00
3.900000000000000000e+01,4.318612820512819361e+00,2.773919346618613613e+00
4.000000000000000000e+01,4.435222500000000068e+00,2.739950747062268377e+00
4.100000000000000000e+01,4.501433333333332953e+00,2.748421057635492826e+00
4.200000000000000000e+01,4.446500793650793426e+00,2.717754002916699108e+00
4.300000000000000000e+01,4.387365116279069888e+00,2.679144581127853808e+00
4.400000000000000000e+01,4.309224242424241957e+00,2.751877310865942228e+00
4.500000000000000000e+01,4.299211851851850952e+00,2.684347243191978372e+00
4.600000000000000000e+01,4.232994202898550107e+00,2.728175622643402853e+00
4.700000000000000000e+01,4.344309929078014498e+00,2.695161033302709619e+00
4.800000000000000000e+01,4.397095138888889032e+00,2.652711119809609830e+00
4.900000000000000000e+01,4.304744897959183803e+00,2.706458381366752430e+00
