nodes,avg_lifetime_min,std_lifetime_min
1.000000000000000000e+00,2.390442176870748447e+00,1.514177473501590931e+00
2.000000000000000000e+00,2.315816326530612201e+00,1.305191279821334760e+00
3.000000000000000000e+00,2.140566893424035833e+00,1.364699977225102501e+00
4.000000000000000000e+00,2.072049319727891081e+00,1.294493519949461824e+00
5.000000000000000000e+00,2.005228571428571360e+00,1.313767516682901038e+00
6.000000000000000000e+00,2.159761904761904994e+00,1.353953436901377705e+00
7.000000000000000000e+00,2.255370910268869711e+00,1.339752543855207811e+00
8.000000000000000000e+00,1.995851757369614621e+00,1.331681631069822958e+00
9.000000000000000000e+00,1.887632653061224852e+00,1.379586229551412080e+00
1.000000000000000000e+01,2.052536394557823218e+00,1.357695818034303947e+00
1.100000000000000000e+01,1.966501236858379631e+00,1.326846429055828169e+00
1.200000000000000000e+01,1.911716269841269744e+00,1.354023032203081289e+00
1.300000000000000000e+01,1.956787022501308204e+00,1.389244562535333571e+00
1.400000000000000000e+01,2.012932539682539712e+00,1.400761207087205751e+00
1.500000000000000000e+01,1.912509448223733699e+00,1.398751799257352380e+00
1.600000000000000000e+01,1.878076459750567029e+00,1.335742343433206525e+00
1.700000000000000000e+01,1.891321862078164440e+00,1.300059112704053499e+00
1.800000000000000000e+01,1.861011274880322697e+00,1.388156521291876722e+00
1.900000000000000000e+01,1.876998448502207761e+00,1.329434079176990746e+00
2.000000000000000000e+01,1.969705215419501165e+00,1.359378409438345425e+00
2.100000000000000000e+01,1.903939909297052147e+00,1.374158939048519601e+00
2.200000000000000000e+01,2.024625592661307039e+00,1.345697515338827532e+00
2.300000000000000000e+01,1.985439958592132736e+00,1.334672867311889277e+00
2.400000000000000000e+01,1.919217687074829870e+00,1.308493260781399492e+00
2.500000000000000000e+01,1.900480408163265134e+00,1.328987748455419782e+00
2.600000000000000000e+01,1.890238226059654636e+00,1.304844769496030787e+00
2.700000000000000000e+01,1.921582472495171112e+00,1.315039174561700053e+00
2.800000000000000000e+01,1.911899862325883159e+00,1.313528820516471907e+00
2.900000000000000000e+01,1.908650402689811676e+00,1.350627022340727290e+00
3.000000000000000000e+01,1.866707294028722597e+00,1.342138354875623607e+00
3.100000000000000000e+01,1.875552812522858659e+00,1.352890377960503265e+00
3.200000000000000000e+01,1.902601261337868443e+00,1.341923950282981171e+00
3.300000000000000000e+01,1.914804988662131668e+00,1.351031236056196239e+00
3.400000000000000000e+01,1.909729058289982850e+00,1.343622577655418482e+00
3.500000000000000000e+01,1.892732231940395415e+00,1.330875752876767848e+00
3.600000000000000000e+01,1.938607174351222096e+00,1.327697693103880416e+00
3.700000000000000000e+01,1.895788656002941996e+00,1.346297756845785454e+00
3.800000000000000000e+01,1.890330856904165469e+00,1.349253811911069745e+00
3.900000000000000000e+01,1.842718820861678264e+00,1.343867504295216397e+00
4.000000000000000000e+01,1.900722278911564755e+00,1.350102726407786502e+00
4.100000000000000000e+01,1.919643133676235180e+00,1.367894436123786361e+00
4.200000000000000000e+01,1.901236799481697659e+00,1.338178118039392794e+00
4.300000000000000000e+01,1.872628487053736412e+00,1.323905774817839776e+00
4.400000000000000000e+01,1.848995361781076152e+00,1.363221610631797365e+00
4.500000000000000000e+01,1.834697480473671094e+00,1.325190812082511771e+00
4.600000000000000000e+01,1.793284531203785948e+00,1.333934048177366716e+00
4.700000000000000000e+01,1.855443117672600950e+00,1.329773667086454170e+00
4.800000000000000000e+01,1.851504629629630028e+00,1.314321370223218377e+00
4.900000000000000000e+01,1.830853672081077743e+00,1.334697399808160378e+00
